Date,Open,High,Low,Close,Adj Close,Volume,Day
2015-06-23,128.679993,129.089996,128.399994,129.009995,114.630791,23378500,330
2015-06-24,128.759995,129.100006,127.730003,127.919998,113.662277,26436800,331
2015-06-25,128.350006,128.419998,127.25,127.849998,113.600098,24100900,332
2015-06-26,128.100006,128.339996,126.82,127.5,113.289093,38219900,333
2015-06-29,126.629997,127.07,124.110001,124.279999,110.427963,49224900,334
2015-06-30,125.18,125.32,124.290001,124.860001,110.943336,39631300,335
2015-07-01,125.769997,126.160004,124.059998,125.230003,111.27211,28627700,336
2015-07-02,124.809998,124.959999,123.370003,123.779999,110.450294,31486400,337
2015-07-06,122.940002,124.510002,122.82,123.739998,110.414612,27852200,338
2015-07-07,123.879997,123.989998,121.529999,123.879997,110.539543,39347100,339
2015-07-08,122.800003,123.349998,121.279999,121.989998,108.853065,40724500,340
2015-07-09,123.349998,123.529999,122.269997,122.43,109.245674,29770400,341
2015-07-10,123.839996,124.339996,123.360001,124.129997,110.762619,28735800,342
2015-07-13,124.769997,125.639999,124.75,125.529999,112.011856,21349900,343
2015-07-14,125.459999,126.5,125.400002,126.230003,112.636452,21009500,344
2015-07-15,126.309998,126.480003,125.269997,125.559998,112.038628,22238300,345
2015-07-16,126.110001,126.739998,125.970001,126.309998,112.707832,33568400,346
2015-07-17,126.309998,126.379997,125.360001,125.760002,112.217072,24739900,347
2015-07-20,125.779999,125.860001,124.760002,125.080002,111.610313,23271100,348
2015-07-21,125.07,125.800003,124.110001,124.489998,111.083809,28118700,349
2015-07-22,124.080002,125.089996,123.879997,124.949997,111.494278,20654200,350
2015-07-23,124.989998,125.389999,123.300003,123.57,110.262894,39712100,351
2015-07-24,123.480003,123.709999,121.489998,121.580002,108.487206,39533000,352
2015-07-27,121.129997,121.32,120.269997,120.57,107.585991,35627200,353
2015-07-28,120.919998,121.809998,119.339996,121.599998,108.505043,53474800,354
2015-07-29,121.360001,122.330002,120.970001,121.940002,108.808449,32411300,355
2015-07-30,121.629997,122.440002,121.010002,122.290001,109.120735,29383900,356
2015-07-31,122.449997,123.669998,122.220001,122.959999,109.718613,31812700,357
2015-08-03,123.029999,123.160004,121.459999,122.349998,109.174301,34033200,358
2015-08-04,122.389999,122.959999,121.610001,122.059998,108.915512,21728900,359
2015-08-05,122.589996,123.529999,121.910004,122.339996,109.16539,25673500,360
2015-08-06,122.470001,122.660004,119.779999,120.690002,107.693024,42225300,361
2015-08-07,120.139999,120.440002,119.07,119.879997,106.970253,42261400,362
2015-08-10,120.330002,121.519997,120.309998,121.260002,108.201675,28798900,363
2015-08-11,120.480003,121.089996,119.650002,120.220001,107.273682,33383800,364
2015-08-12,119.57,120.339996,117.970001,119.989998,107.068466,46500100,365
2015-08-13,120.099998,120.589996,119.389999,119.589996,106.711525,35698300,366
2015-08-14,119.489998,120.489998,119.019997,120.360001,107.398605,21091500,367
2015-08-17,120.029999,121.68,119.599998,121.629997,108.531822,22328200,368
2015-08-18,121.459999,121.459999,120.519997,120.660004,107.666283,26360400,369
